image,bbox,class_id
C:/Users/QIU/Desktop/dataset/images/beagle_103.jpg,150x62x317x225,2
C:/Users/QIU/Desktop/dataset/images/Bengal_180.jpg,223x77x285x145,2
C:/Users/QIU/Desktop/dataset/images/great_pyrenees_188.jpg,191x127x282x225,2
C:/Users/QIU/Desktop/dataset/images/american_pit_bull_terrier_161.jpg,88x34x225x133,2
C:/Users/QIU/Desktop/dataset/images/Persian_200.jpg,141x26x244x129,1
C:/Users/QIU/Desktop/dataset/images/samoyed_139.jpg,72x53x201x203,2
C:/Users/QIU/Desktop/dataset/images/pomeranian_173.jpg,73x7x177x127,2
C:/Users/QIU/Desktop/dataset/images/pomeranian_180.jpg,28x1x155x143,2
C:/Users/QIU/Desktop/dataset/images/Persian_18.jpg,156x89x424x282,1
C:/Users/QIU/Desktop/dataset/images/staffordshire_bull_terrier_199.jpg,125x50x257x173,2
C:/Users/QIU/Desktop/dataset/images/newfoundland_187.jpg,81x40x296x255,1
C:/Users/QIU/Desktop/dataset/images/shiba_inu_181.jpg,192x9x419x248,1
C:/Users/QIU/Desktop/dataset/images/basset_hound_117.jpg,237x31x479x294,2
C:/Users/QIU/Desktop/dataset/images/wheaten_terrier_159.jpg,104x62x241x181,2
C:/Users/QIU/Desktop/dataset/images/american_bulldog_148.jpg,136x123x347x275,2
C:/Users/QIU/Desktop/dataset/images/wheaten_terrier_137.jpg,200x91x331x209,2
C:/Users/QIU/Desktop/dataset/images/american_bulldog_103.jpg,126x119x237x226,2
C:/Users/QIU/Desktop/dataset/images/Bengal_153.jpg,145x52x191x110,2
C:/Users/QIU/Desktop/dataset/images/wheaten_terrier_109.jpg,39x30x332x312,2
C:/Users/QIU/Desktop/dataset/images/havanese_155.jpg,133x19x417x290,2
C:/Users/QIU/Desktop/dataset/images/leonberger_166.jpg,41x22x241x217,2
C:/Users/QIU/Desktop/dataset/images/newfoundland_176.jpg,112x53x325x214,1
C:/Users/QIU/Desktop/dataset/images/Persian_10.jpg,1x4x375x321,1
C:/Users/QIU/Desktop/dataset/images/Abyssinian_118.jpg,1x34x257x303,1
C:/Users/QIU/Desktop/dataset/images/pomeranian_145.jpg,29x54x184x202,2
C:/Users/QIU/Desktop/dataset/images/english_cocker_spaniel_136.jpg,23x135x293x422,2
C:/Users/QIU/Desktop/dataset/images/chihuahua_132.jpg,96x43x195x121,2
C:/Users/QIU/Desktop/dataset/images/pomeranian_137.jpg,61x12x182x138,2
C:/Users/QIU/Desktop/dataset/images/shiba_inu_183.jpg,117x114x199x206,1
C:/Users/QIU/Desktop/dataset/images/wheaten_terrier_167.jpg,68x1x257x171,2
C:/Users/QIU/Desktop/dataset/images/basset_hound_120.jpg,60x24x254x261,2
C:/Users/QIU/Desktop/dataset/images/leonberger_158.jpg,104x198x271x332,2
C:/Users/QIU/Desktop/dataset/images/Maine_Coon_103.jpg,173x69x381x273,1
C:/Users/QIU/Desktop/dataset/images/Abyssinian_183.jpg,141x59x289x204,1
C:/Users/QIU/Desktop/dataset/images/Sphynx_116.jpg,51x47x293x290,1
C:/Users/QIU/Desktop/dataset/images/Bombay_174.jpg,216x50x368x201,2
C:/Users/QIU/Desktop/dataset/images/basset_hound_104.jpg,189x79x289x173,2
